action,src,dst,src_exists,dst_exists,within_root,files,size_bytes,size_mib,reason
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\大数据系统综合实践\大数据系统综合实践,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\大数据系统综合实践,True,True,True,3,3280005,3.128,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\工程材料学\工程材料学,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\工程材料学,True,True,True,3,109018309,103.968,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\普通生物学\普通生物学,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\普通生物学,True,True,True,1,100133699,95.495,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\生活资料,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料,True,True,True,3,6023217,5.744,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生物信息数据挖掘\生物信息数据挖掘,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生物信息数据挖掘,True,True,True,1,1423719,1.358,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学,True,True,True,16,206392406,196.831,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学,True,True,True,22,162745612,155.206,child_directory_has_same_name_as_parent
flatten_same_name_child,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\马原\马原,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\马原,True,True,True,27,78385492,74.754,child_directory_has_same_name_as_parent
move_top_file_to_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国家安全教育  答案.docx,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国家安全教育\国家安全教育  答案.docx,True,False,True,1,18733,0.018,top_level_file_belongs_to_named_subject
move_top_file_to_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\电气工程实践基础第五讲（2025版） (2).pptx,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\电气工程实践基础\电气工程实践基础第五讲（2025版） (2).pptx,True,False,True,1,6529056,6.227,top_level_file_belongs_to_named_subject
