normalized_title,title,download_page_id,download_page_title,download_category,download_creator,upload_state
信号与系统课件,信号与系统课件,6a27064c82ff2e3e38551e87,信号与系统课件,信号与系统,匿名用户,uploaded
量子力学,量子力学,6a18e9e6152ff5f9da662fb3,量子力学,量子力学,冷漠的野猪骑士,planned_only
量子力学教材,量子力学教材,69e5ef5f0971532697c9a317,量子力学教材,量子力学,冰岩作坊,planned_only
