row,action,operation,src,dst,status,files,size_bytes,note
18,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\军事理论\军事理论\密码hust.zip,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\军事理论\密码hust.zip,ok,1,6069122,
18,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\军事理论\军事理论,,ok,0,0,
19,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\化学与生物传感器\化学与生物传感器\重点内容复习及答疑.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\化学与生物传感器\重点内容复习及答疑.pdf,ok,1,4628013,
19,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\化学与生物传感器\化学与生物传感器,,ok,0,0,
20,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\固体物理\固体物理\固体物理.zip,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\固体物理\固体物理.zip,ok,1,116288157,
20,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\固体物理\固体物理,,ok,0,0,
21,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国土空间总体规划原理\国土空间总体规划原理\00 国土空间总体规划原理（简版讲稿）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国土空间总体规划原理\00 国土空间总体规划原理（简版讲稿）.pdf,ok,1,73278362,
21,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国土空间总体规划原理\国土空间总体规划原理\《国土空间总体规划原理》（闭卷）考试题型与复习要点.doc,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国土空间总体规划原理\《国土空间总体规划原理》（闭卷）考试题型与复习要点.doc,ok,1,36352,
21,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\国土空间总体规划原理\国土空间总体规划原理,,ok,0,0,
22,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\复杂性科学基础\0readme.txt,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\0readme.txt,ok,1,311,
22,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\复杂性科学基础\240311.rar,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\240311.rar,ok,1,29581862,
22,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\复杂性科学基础\240318.rar,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\240318.rar,ok,1,1675148,
22,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\复杂性科学基础\240325.rar,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\240325.rar,ok,1,7429826,
22,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\复杂性科学基础\240401.rar,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\复杂性科学基础\240401.rar,ok,1,7972984,
